               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033487,            0.014593,           0.0050999,             0.78488,              0.7852,              0.7767,             0.42611,             0.02814,           0.0056409,           0.0050058,             0.00307,             0.00307,             0.00307
                  37,            0.033653,            0.014509,           0.0054664,             0.78828,              0.8113,             0.78742,             0.43392,            0.027382,           0.0056097,           0.0029017,            0.002872,            0.002872,            0.002872
                  38,            0.033267,            0.014235,           0.0061011,             0.81235,              0.8113,             0.80041,             0.43558,            0.027173,           0.0056522,            0.004101,            0.002674,            0.002674,            0.002674
                  39,            0.032354,            0.014561,            0.005443,             0.80494,             0.80411,             0.80638,             0.44028,            0.026819,           0.0056533,           0.0040223,            0.002476,            0.002476,            0.002476
                  40,            0.033076,            0.014124,           0.0051453,              0.8115,              0.8126,             0.80601,             0.43696,            0.027427,            0.005668,           0.0037139,            0.002278,            0.002278,            0.002278
                  41,            0.032368,            0.014246,           0.0054962,             0.82235,             0.81137,             0.81407,             0.45329,            0.026428,            0.005604,           0.0036689,             0.00208,             0.00208,             0.00208
                  42,             0.03184,            0.014421,           0.0049535,             0.84198,             0.81879,             0.82416,             0.44928,            0.026984,           0.0056253,           0.0045181,            0.001882,            0.001882,            0.001882
                  43,            0.030902,             0.01419,           0.0044102,             0.81081,             0.79648,              0.7973,             0.44032,            0.026299,           0.0056355,           0.0052974,            0.001684,            0.001684,            0.001684
                  44,            0.031403,            0.014117,            0.004316,              0.8209,             0.81591,             0.82075,             0.45773,            0.026635,           0.0056096,            0.004114,            0.001486,            0.001486,            0.001486
                  45,            0.030295,            0.013706,           0.0043823,             0.82113,             0.82774,             0.82112,             0.45991,            0.025864,           0.0055846,           0.0045287,            0.001288,            0.001288,            0.001288
                  46,            0.031269,            0.013693,           0.0049389,             0.83431,             0.81686,              0.8161,             0.46007,            0.026704,           0.0056005,           0.0040864,             0.00109,             0.00109,             0.00109
                  47,            0.030669,            0.013959,           0.0042934,             0.83319,             0.81365,             0.81413,             0.45668,            0.026234,           0.0055643,           0.0050779,            0.000892,            0.000892,            0.000892
                  48,            0.030853,            0.013794,           0.0037496,             0.81423,             0.80229,             0.80552,             0.45901,            0.026497,            0.005548,           0.0045299,            0.000694,            0.000694,            0.000694
                  49,            0.030282,             0.01334,           0.0037366,             0.83482,             0.82728,             0.82113,             0.46659,            0.026256,           0.0055339,           0.0035986,            0.000496,            0.000496,            0.000496
